question,label
What is double-entry bookkeeping?,TRUE
What is the atomic number of Bismuth?,FALSE
How do you calculate net income?,TRUE
What year was the Franklin expedition?,FALSE
How do you prepare a budget?,TRUE
What are the benefits of studying asteroids?,FALSE
What is variance analysis?,TRUE
What is the capital of France?,FALSE
What are standard costs?,TRUE
What equipment is essential for mountaineering?,FALSE
How do you perform a break-even analysis?,TRUE
How do astronauts train for spacewalks?,FALSE
What is a contribution margin?,TRUE
How do you cook pasta?,FALSE
How do you calculate the return on investment (ROI)?,TRUE
How do you use a belay device?,FALSE
What is the balanced scorecard?,TRUE
How do space agencies ensure the safety of astronauts during re-entry?,FALSE
What are the main financial statements used in accounting?,TRUE
What year was NASA founded?,FALSE
How do you use financial ratios in managerial decision-making?,TRUE
How much sun does lavender require?,FALSE
What is the difference between accounts payable and accounts receivable?,TRUE
Who was the first person to summit Mount Everest?,FALSE
What is capital budgeting?,TRUE
What is the boiling point of water?,FALSE
How do you evaluate a capital investment project?,TRUE
What is the significance of the Artemis program?,FALSE
What is a payback period?,TRUE
Who wrote 'To Kill a Mockingbird'?,FALSE
How do you calculate the net present value (NPV) of a project?,TRUE
How do you acclimate to high altitudes?,FALSE
What is the internal rate of return (IRR)?,TRUE
What is the process of photosynthesis?,FALSE
How do you conduct a cost-benefit analysis?,TRUE
What is a gravity assist maneuver?,FALSE
What are the different types of taxes that a business must pay?,TRUE
How do you depreciate an asset?,TRUE
How do you calculate corporate income tax?,TRUE
What is the chemical formula for water?,FALSE
What is tax planning?,TRUE
What are the Seven Summits?,FALSE
How do you account for deferred tax assets and liabilities?,TRUE
What was the first human-made object to reach space?,FALSE
What is a tax deduction?,TRUE
What is the Force?,FALSE
What is a tax credit?,TRUE
What is the difference between rock climbing and ice climbing?,FALSE
How do you determine the tax basis of an asset?,TRUE
How many planets are in the solar system?,FALSE
What are the tax implications of asset sales?,TRUE
Who was the first person to walk on the moon?,FALSE
How do you handle tax audits?,TRUE
What is the name of Han Solo's ship?,FALSE
What is transfer pricing?,TRUE
What are the ingredients of a margarita?,FALSE
How do you account for sales tax?,TRUE
What is the purpose of the International Space Station (ISS)?,FALSE
What are the tax implications of employee benefits?,TRUE
Who are the Sith?,FALSE
How do you calculate payroll taxes?,TRUE
Who painted the Mona Lisa?,FALSE
What is the difference between tax avoidance and tax evasion?,TRUE
Which spacecraft was the first to fly by Pluto?,FALSE
How do you handle international tax issues?,TRUE
What year did the Apollo 11 mission land on the moon?,FALSE
What are the tax implications of business mergers and acquisitions?,TRUE
What are the main components of a cell?,FALSE
How do you account for charitable contributions?,TRUE
Who is Luke Skywalker's father?,FALSE
What is the Alternative Minimum Tax (AMT)?,TRUE
Who was the first woman in space?,FALSE
How do you account for tax-exempt income?,TRUE
What are the primary goals of the Mars Rover missions?,FALSE
What are the tax implications of stock options?,TRUE
How do you solve a quadratic equation?,FALSE
What is forensic accounting?,TRUE
How do astronauts prepare for zero gravity?,FALSE
How do you detect and prevent fraud?,TRUE
How do you grow tomatoes from seeds?,FALSE
What is governmental accounting?,TRUE
What was the first mission to land on Mars?,FALSE
How does nonprofit accounting differ from for-profit accounting?,TRUE
What planet is Princess Leia from?,FALSE
What are fund accounting principles?,TRUE
What was the first human-made object to land on the moon?,FALSE
What is environmental accounting?,TRUE
What is the main ingredient in sushi?,FALSE
How do you account for intangible assets?,TRUE
What is the Hubble Space Telescope used for?,FALSE
What is goodwill and how is it accounted for?,TRUE
What is the capital of Japan?,FALSE
What is the impairment of assets?,TRUE
"Which planet is known as the ""Red Planet""?",FALSE
How do you account for research and development costs?,TRUE
What is the significance of the Voyager missions?,FALSE
What are derivative instruments and how are they accounted for?,TRUE
What is the speed of light?,FALSE
How do you account for leases?,TRUE
Who was the first person in space?,FALSE
What is off-balance-sheet financing?,TRUE
What are the primary colors?,FALSE
How do you account for business combinations?,TRUE
How do scientists determine the composition of distant planets?,FALSE
What are joint ventures and how are they accounted for?,TRUE
Who discovered penicillin?,FALSE
How do you account for pension plans?,TRUE
How do rockets escape Earth's gravity?,FALSE
What is stock-based compensation and how is it accounted for?,TRUE
What was the first satellite launched into space?,FALSE
How do you account for revenue from contracts with customers?,TRUE
How often should you water succulents?,FALSE
What is the accounting treatment for restructuring costs?,TRUE
What is a space shuttle?,FALSE
How do you account for discontinued operations?,TRUE
What is companion planting?,FALSE
What is accounting software?,TRUE
"What is a space elevator, and is it feasible?",FALSE
How do you choose the right accounting software for a business?,TRUE
How do you program in Python?,FALSE
What are the benefits of using cloud-based accounting software?,TRUE
What is the Pythagorean theorem?,FALSE
How does automation impact accounting processes?,TRUE
How do space missions contribute to our understanding of the universe?,FALSE
What is the role of data analytics in accounting?,TRUE
Who was the first president of the United States?,FALSE
